index,value
1258,553.56921
1259,553.38922
1260,553.20923
1261,553.02924
1262,552.84924
1263,552.66925
1264,552.48926
1265,552.30927
1266,552.12927
1267,551.94928
1268,551.76929
1269,551.58929
1270,551.40930
1271,551.22931
1272,551.04932
1273,550.86932
1274,550.68933
1275,550.50934
1276,550.32935
1277,550.14935
1278,549.96936
1279,549.78937
1280,549.60938
1281,549.42938
1282,549.24939
1283,549.06940
1284,548.88940
1285,548.70941
1286,548.52942
1287,548.34943
1288,548.16943
1289,547.98944
1290,547.80945
1291,547.62946
1292,547.44946
1293,547.26947
1294,547.08948
1295,546.90948
1296,546.72949
1297,546.54950
1298,546.36951
1299,546.18951
1300,546.00952
1301,545.82953
1302,545.64954
1303,545.46954
1304,545.28955
1305,545.10956
1306,544.92957
1307,544.74957
1308,544.56958
1309,544.38959
1310,544.20959
1311,544.02960
1312,543.84961
1313,543.66962
1314,543.48962
1315,543.30963
1316,543.12964
1317,542.94965
1318,542.76965
1319,542.58966
1320,542.40967
1321,542.22968
1322,542.04968
1323,541.86969
1324,541.68970
1325,541.50970
1326,541.32971
1327,541.14972
1328,540.96973
1329,540.78973
1330,540.60974
1331,540.42975
1332,540.24976
1333,540.06976
1334,539.88977
1335,539.70978
1336,539.52979
1337,539.34979
1338,539.16980
1339,538.98981
1340,538.80981
1341,538.62982
1342,538.44983
1343,538.26984
1344,538.08984
1345,537.90985
1346,537.72986
1347,537.54987
1348,537.36987
1349,537.18988
1350,537.00989
1351,536.82990
1352,536.64990
1353,536.46991
1354,536.28992
1355,536.10992
1356,535.92993
1357,535.74994
1358,535.56995
1359,535.38995
1360,535.20996
1361,535.02997
1362,534.84998
1363,534.66998
1364,534.48999
1365,534.31000
1366,534.13000
1367,533.95001
1368,533.77002
1369,533.59003
1370,533.41003
1371,533.23004
1372,533.05005
1373,532.87006
1374,532.69006
1375,532.51007
1376,532.33008
1377,532.15009
1378,531.97009
1379,531.79010
1380,531.61011
1381,531.43011
1382,531.25012
1383,531.07013
1384,530.89014
1385,530.71014
1386,530.53015
1387,530.35016
1388,530.17017
1389,529.99017
1390,529.81018
1391,529.63019
1392,529.45020
1393,529.27020
1394,529.09021
1395,528.91022
1396,528.73022
1397,528.55023
1398,528.37024
1399,528.19025
1400,528.01025
1401,527.83026
1402,527.65027
1403,527.47028
1404,527.29028
1405,527.11029
1406,526.93030
1407,526.75031
1408,526.57031
1409,526.39032
1410,526.21033
1411,526.03033
1412,525.85034
1413,525.67035
1414,525.49036
1415,525.31036
1416,525.13037
1417,524.95038
1418,524.77039
1419,524.59039
1420,524.41040
1421,524.23041
1422,524.05042
1423,523.87042
1424,523.69043
1425,523.51044
1426,523.33044
1427,523.15045
1428,522.97046
1429,522.79047
1430,522.61047
1431,522.43048
1432,522.25049
1433,522.07050
1434,521.89050
1435,521.71051
1436,521.53052
1437,521.35052
1438,521.17053
1439,520.99054
1440,520.81055
1441,520.63055
1442,520.45056
1443,520.27057
1444,520.09058
1445,519.91058
1446,519.73059
1447,519.55060
1448,519.37061
1449,519.19061
1450,519.01062
1451,518.83063
1452,518.65063
1453,518.47064
1454,518.29065
1455,518.11066
1456,517.93066
1457,517.75067
1458,517.57068
1459,517.39069
1460,517.21069
1461,517.03070
1462,516.85071
1463,516.67072
1464,516.49072
1465,516.31073
1466,516.13074
1467,515.95074
1468,515.77075
1469,515.59076
1470,515.41077
1471,515.23077
1472,515.05078
1473,514.87079
1474,514.69080
1475,514.51080
1476,514.33081
1477,514.15082
1478,513.97083
1479,513.79083
1480,513.61084
1481,513.43085
1482,513.25085
1483,513.07086
1484,512.89087
1485,512.71088
1486,512.53088
1487,512.35089
1488,512.17090
1489,511.99091
1490,511.81091
1491,511.63092
1492,511.45093
1493,511.27094
1494,511.09094
1495,510.91095
1496,510.73096
1497,510.55096
1498,510.37097
1499,510.19098
1500,510.01099
1501,509.83099
1502,509.65100
1503,509.47101
1504,509.29102
1505,509.11102
1506,508.93103
1507,508.75104
1508,508.57104
1509,508.39105
1510,508.21106
1511,508.03107
1512,507.85107
1513,507.67108
1514,507.49109
1515,507.31110
1516,507.13110
1517,506.95111
1518,506.77112
1519,506.59113
1520,506.41113
1521,506.23114
1522,506.05115
1523,505.87115
1524,505.69116
1525,505.51117
1526,505.33118
1527,505.15118
1528,504.97119
1529,504.79120
1530,504.61121
1531,504.43121
1532,504.25122
1533,504.07123
1534,503.89124
1535,503.71124
1536,503.53125
1537,503.35126
1538,503.17126
1539,502.99127
1540,502.81128
1541,502.63129
1542,502.45129
1543,502.27130
1544,502.09131
1545,501.91132
1546,501.73132
1547,501.55133
1548,501.37134
1549,501.19135
1550,501.01135
1551,500.83136
1552,500.65137
1553,500.47137
1554,500.29138
1555,500.11139
1556,499.93140
1557,499.75140
1558,499.57141
1559,499.39142
1560,499.21143
1561,499.03143
1562,498.85144
1563,498.67145
1564,498.49146
1565,498.31146
1566,498.13147
1567,497.95148
1568,497.77148
1569,497.59149
1570,497.41150
1571,497.23151
1572,497.05151
1573,496.87152
1574,496.69153
1575,496.51154
1576,496.33154
1577,496.15155
1578,495.97156
1579,495.79156
1580,495.61157
1581,495.43158
1582,495.25159
1583,495.07159
1584,494.89160
1585,494.71161
1586,494.53162
1587,494.35162
1588,494.17163
1589,493.99164
1590,493.81165
1591,493.63165
1592,493.45166
1593,493.27167
1594,493.09167
1595,492.91168
1596,492.73169
1597,492.55170
1598,492.37170
1599,492.19171
1600,492.01172
1601,491.83173
1602,491.65173
1603,491.47174
1604,491.29175
1605,491.11176
1606,490.93176
1607,490.75177
1608,490.57178
1609,490.39178
1610,490.21179
1611,490.03180
1612,489.85181
1613,489.67181
1614,489.49182
1615,489.31183
1616,489.13184
1617,488.95184
1618,488.77185
1619,488.59186
1620,488.41187
1621,488.23187
1622,488.05188
1623,487.87189
1624,487.69189
1625,487.51190
1626,487.33191
1627,487.15192
