index,value0,value1
513,431.1637573242,480.4323120117
514,430.4837646484,479.7723083496
515,429.8037719727,479.1123046875
516,429.1237792969,478.4523010254
517,428.4437866211,477.7922973633
518,427.7637939453,477.1322937012
519,427.0838012695,476.4722900391
520,426.4038085938,475.8122863770
521,425.7238159180,475.1522827148
522,425.0438232422,474.4922790527
523,424.3638305664,473.8322753906
524,423.6838378906,473.1722717285
525,423.0038452148,472.5122680664
526,422.3238525391,471.8522644043
527,421.6438598633,471.1922607422
528,420.9638671875,470.5322570801
529,420.2838745117,469.8722534180
530,419.6038818359,469.2122497559
531,418.9238891602,468.5522460938
532,418.2438964844,467.8922424316
533,417.5639038086,467.2322387695
534,416.8839111328,466.5722351074
535,416.2039184570,465.9122314453
536,415.5239257812,465.2522277832
537,414.8439331055,464.5922241211
538,414.1639404297,463.9322204590
539,413.4839477539,463.2722167969
540,412.8039550781,462.6122131348
541,412.1239624023,461.9522094727
542,411.4439697266,461.2922058105
543,410.7639770508,460.6322021484
544,410.0839843750,459.9721984863
545,409.4039916992,459.3121948242
546,408.7239990234,458.6521911621
547,408.0440063477,457.9921875000
548,407.3640136719,457.3321838379
549,406.6840209961,456.6721801758
550,406.0040283203,456.0121765137
551,405.3240356445,455.3521728516
552,404.6440429688,454.6921691895
553,403.9640502930,454.0321655273
554,403.2840576172,453.3721618652
555,402.6040649414,452.7121582031
556,401.9240722656,452.0521545410
557,401.2440795898,451.3921508789
558,400.5640869141,450.7321472168
559,399.8840942383,450.0721435547
560,399.2041015625,449.4121398926
561,398.5241088867,448.7521362305
562,397.8441162109,448.0921325684
563,397.1641235352,447.4321289062
564,396.4841308594,446.7721252441
565,395.8041381836,446.1121215820
566,395.1241455078,445.4521179199
567,394.4441528320,444.7921142578
568,393.7641601562,444.1321105957
569,393.0841674805,443.4721069336
570,392.4041748047,442.8121032715
571,391.7241821289,442.1520996094
572,391.0441894531,441.4920959473
573,390.3641967773,440.8320922852
574,389.6842041016,440.1720886230
575,389.0042114258,439.5120849609
576,388.3242187500,438.8520812988
577,387.6442260742,438.1920776367
578,386.9642333984,437.5320739746
579,386.2842407227,436.8720703125
580,385.6042480469,436.2120666504
581,384.9242553711,435.5520629883
582,384.2442626953,434.8920593262
583,383.5642700195,434.2320556641
584,382.8842773438,433.5720520020
585,382.2042846680,432.9120483398
586,381.5242919922,432.2520446777
587,380.8442993164,431.5920410156
588,380.1643066406,430.9320373535
589,379.4843139648,430.2720336914
590,378.8043212891,429.6120300293
591,378.1243286133,428.9520263672
592,377.4443359375,428.2920227051
593,376.7643432617,427.6320190430
594,376.0843505859,426.9720153809
595,375.4043579102,426.3120117188
596,374.7243652344,425.6520080566
597,374.0443725586,424.9920043945
598,373.3643798828,424.3320007324
599,372.6843872070,423.6719970703
600,372.0043945312,423.0119934082
601,371.3244018555,422.3519897461
602,370.6444091797,421.6919860840
603,369.9644165039,421.0319824219
604,369.2844238281,420.3719787598
605,368.6044311523,419.7119750977
606,367.9244384766,419.0519714355
607,367.2444458008,418.3919677734
608,366.5644531250,417.7319641113
609,365.8844604492,417.0719604492
610,365.2044677734,416.4119567871
611,364.5244750977,415.7519531250
612,363.8444824219,415.0919494629
613,363.1644897461,414.4319458008
614,362.4844970703,413.7719421387
615,361.8045043945,413.1119384766
616,361.1245117188,412.4519348145
617,360.4445190430,411.7919311523
618,359.7645263672,411.1319274902
619,359.0845336914,410.4719238281
620,358.4045410156,409.8119201660
621,357.7245483398,409.1519165039
622,357.0445556641,408.4919128418
623,356.3645629883,407.8319091797
624,355.6845703125,407.1719055176
625,355.0045776367,406.5119018555
626,354.3245849609,405.8518981934
627,353.6445922852,405.1918945312
628,352.9645996094,404.5318908691
629,352.2846069336,403.8718872070
630,351.6046142578,403.2118835449
631,350.9246215820,402.5518798828
632,350.2446289062,401.8918762207
633,349.5646362305,401.2318725586
634,348.8846435547,400.5718688965
635,348.2046508789,399.9118652344
636,347.5246582031,399.2518615723
637,346.8446655273,398.5918579102
638,346.1646728516,397.9318542480
639,345.4846801758,397.2718505859
640,344.8046875000,396.6118469238
641,344.1246948242,395.9518432617
642,343.4447021484,395.2918395996
643,342.7647094727,394.6318359375
644,342.0847167969,393.9718322754
645,341.4047241211,393.3118286133
646,340.7247314453,392.6518249512
647,340.0447387695,391.9918212891
648,339.3647460938,391.3318176270
