index,value0,value1
338,836.1542358398,860.1144409180
339,836.0388183594,860.0426635742
340,835.9234008789,859.9708862305
341,835.8079833984,859.8991088867
342,835.6925659180,859.8237915039
343,835.5771484375,859.7484741211
344,835.4617309570,859.6731567383
345,835.3463134766,859.5978393555
346,835.2308959961,859.5225219727
347,835.1154785156,859.4472045898
348,835.0000610352,859.3718872070
349,834.8846435547,859.2965698242
350,834.7692260742,859.2212524414
351,834.6538085938,859.1459350586
352,834.5383911133,859.0706176758
353,834.4229736328,858.9953002930
354,834.3075561523,858.9199829102
355,834.1921386719,858.8446655273
356,834.0767211914,858.7693481445
357,833.9613037109,858.6940307617
358,833.8458862305,858.6187133789
359,833.7304687500,858.5433959961
360,833.6150512695,858.4680786133
361,833.4996337891,858.3927612305
362,833.3842163086,858.3174438477
363,833.2687988281,858.2421264648
364,833.1533813477,858.1668090820
365,833.0379638672,858.0914916992
366,832.9225463867,858.0161743164
367,832.8071289062,857.9408569336
368,832.6917114258,857.8655395508
369,832.5762939453,857.7902221680
370,832.4608764648,857.7184448242
371,832.3454589844,857.6466674805
372,832.2300415039,857.5748901367
373,832.1146240234,857.5031127930
374,831.9992065430,857.4313354492
375,831.8837890625,857.3595581055
376,831.7683715820,857.2877807617
377,831.6529541016,857.2160034180
378,831.5375366211,857.1442260742
379,831.4221191406,857.0724487305
380,831.3067016602,857.0006713867
381,831.1912841797,856.9288940430
382,831.0758666992,856.8571166992
383,830.9604492188,856.7853393555
384,830.8450317383,856.7135620117
385,830.7296142578,856.6417846680
386,830.6141967773,856.5700073242
387,830.4987792969,856.4982299805
388,830.3833618164,856.4264526367
389,830.2679443359,856.3546752930
390,830.1525268555,856.2828979492
391,830.0371093750,856.2111206055
392,829.9216918945,856.1393432617
393,829.8062744141,856.0675659180
394,829.6908569336,855.9957885742
395,829.5754394531,855.9240112305
396,829.4600219727,855.8522338867
397,829.3446044922,855.7804565430
398,829.2291870117,855.7086791992
399,829.1137695312,855.6369018555
400,828.9983520508,855.5651245117
401,828.8829345703,855.4933471680
402,828.7675170898,855.4215698242
403,828.6520996094,855.3497924805
404,828.5366821289,855.2780151367
405,828.4212646484,855.2062377930
406,828.3058471680,855.1344604492
407,828.1904296875,855.0626831055
408,828.0750122070,854.9909057617
409,827.9595947266,854.9191284180
410,827.8441772461,854.8473510742
411,827.7287597656,854.7755737305
412,827.6133422852,854.7037963867
413,827.4979248047,854.6320190430
414,827.3825073242,854.5602416992
415,827.2670898438,854.4884643555
416,827.1516723633,854.4166870117
417,827.0362548828,854.3449096680
418,826.9208374023,854.2731323242
419,826.8054199219,854.2013549805
420,826.6900024414,854.1295776367
421,826.5745849609,854.0578002930
422,826.4591674805,853.9860229492
423,826.3437500000,853.9142456055
424,826.2283325195,853.8424682617
425,826.0955810547,853.7706909180
426,825.9628295898,853.6989135742
427,825.8300781250,853.6235961914
428,825.6973266602,853.5482788086
429,825.5645751953,853.4729614258
430,825.4318237305,853.3976440430
431,825.2990722656,853.3223266602
432,825.1663208008,853.2470092773
433,825.0335693359,853.1716918945
434,824.9008178711,853.0963745117
435,824.7680664062,853.0210571289
436,824.6353149414,852.9457397461
437,824.5025634766,852.8704223633
438,824.3698120117,852.7951049805
439,824.2370605469,852.7197875977
440,824.1043090820,852.6444702148
441,823.9715576172,852.5691528320
442,823.8388061523,852.4938354492
443,823.7003173828,852.4185180664
444,823.5618286133,852.3432006836
445,823.4233398438,852.2678833008
446,823.2848510742,852.1925659180
447,823.1463623047,852.1172485352
448,823.0078735352,852.0419311523
449,822.8693847656,851.9666137695
450,822.7308959961,851.8912963867
451,822.5924072266,851.8159790039
452,822.4539184570,851.7406616211
453,822.3154296875,851.6653442383
454,822.1769409180,851.5900268555
455,822.0384521484,851.5147094727
456,821.8999633789,851.4429321289
457,821.7614746094,851.3711547852
458,821.6229858398,851.2993774414
459,821.4844970703,851.2276000977
460,821.3517456055,851.1558227539
461,821.2189941406,851.0840454102
462,821.0862426758,851.0122680664
463,820.9534912109,850.9404907227
464,820.8207397461,850.8687133789
465,820.6879882812,850.7969360352
466,820.5552368164,850.7251586914
467,820.4224853516,850.6533813477
468,820.2897338867,850.5816040039
469,820.1569824219,850.5098266602
470,820.0242309570,850.4380493164
471,819.8914794922,850.3662719727
472,819.7587280273,850.2944946289
473,819.6259765625,850.2227172852
474,819.4932250977,850.1509399414
475,819.3604736328,850.0791625977
476,819.2277221680,850.0073852539
477,819.0949707031,849.9356079102
478,818.9622192383,849.8638305664
479,818.8294677734,849.7920532227
480,818.6967163086,849.7202758789
481,818.5639648438,849.6484985352
482,818.4312133789,849.5767211914
483,818.2984619141,849.5049438477
484,818.1657104492,849.4331665039
485,818.0329589844,849.3613891602
486,817.9002075195,849.2896118164
487,817.7674560547,849.2178344727
488,817.6347045898,849.1460571289
489,817.5019531250,849.0742797852
490,817.3692016602,849.0025024414
491,817.2364501953,848.9307250977
492,817.1036987305,848.8589477539
493,816.9709472656,848.7871704102
