index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
72,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,782,777.088501,817.088501,778.7797852,767.1234131,731.0405273,771.0405273,764.340332,777.7191162,821.3000488,841.9104004
73,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,781.75,777.088501,817.088501,778.7797852,766.9754028,730.3605347,770.3605347,764.1603394,777.7191162,821.3000488,841.9104004
74,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,781.5,777.088501,817.088501,778.7797852,766.8273926,729.680542,769.680542,763.9803467,777.7191162,821.3000488,841.9104004
75,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,781.25,777.088501,817.088501,778.7797852,766.6793823,729.0005493,769.0005493,763.800354,777.7191162,821.3000488,841.9104004
76,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,781,777.088501,817.088501,778.7797852,766.5313721,728.3205566,768.3205566,763.6203613,777.7191162,821.3000488,841.9104004
77,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,780.75,777.088501,817.088501,778.7797852,766.3833618,727.640564,767.640564,763.4403687,777.7191162,821.3000488,841.9104004
78,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,780.5,777.088501,817.088501,778.7797852,766.2353516,726.9605713,766.9605713,763.260376,777.7191162,821.3000488,841.9104004
79,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,780.25,777.088501,817.088501,778.7797852,766.0873413,726.2805786,766.2805786,763.0803833,777.7191162,821.3000488,841.9104004
80,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,780,777.088501,817.088501,778.7797852,765.9393311,725.6005859,765.6005859,762.9003906,777.7191162,821.3000488,841.9104004
81,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,779.75,777.088501,817.088501,778.7797852,765.7913208,724.9205933,764.9205933,762.7203979,777.7191162,821.3000488,841.9104004
82,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,779.5,777.088501,817.088501,778.7797852,765.6433105,724.2406006,764.2406006,762.5404053,777.7191162,821.3000488,841.9104004
83,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,779.25,777.088501,817.088501,778.7797852,765.4953003,723.5606079,763.5606079,762.3604126,777.7191162,821.3000488,841.9104004
84,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,779,777.088501,817.088501,778.7797852,765.34729,722.8806152,762.8806152,762.1804199,777.7191162,821.3000488,841.9104004
85,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,778.75,777.088501,817.088501,778.7797852,765.1992798,722.2006226,762.2006226,762.0004272,777.7191162,821.3000488,841.9104004
86,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,778.5,777.088501,817.088501,778.7797852,765.0512695,721.5206299,761.5206299,761.8204346,777.7191162,821.3000488,841.9104004
87,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,778.25,777.088501,817.088501,778.7797852,764.9032593,720.8406372,760.8406372,761.6404419,777.7191162,821.3000488,841.9104004
88,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,778,777.088501,817.088501,778.7797852,764.755249,720.1606445,760.1606445,761.4604492,777.7191162,821.3000488,841.9104004
89,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,777.75,777.088501,817.088501,778.7797852,764.6072388,719.4806519,759.4806519,761.2804565,777.7191162,821.3000488,841.9104004
90,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,777.5,777.088501,817.088501,778.7797852,764.4592285,718.8006592,758.8006592,761.1004639,777.7191162,821.3000488,841.9104004
91,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,777.25,777.088501,817.088501,778.7797852,764.3112183,718.1206665,758.1206665,760.9204712,777.7191162,821.3000488,841.9104004
92,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,777,777.088501,817.088501,778.7797852,764.163208,717.4406738,757.4406738,760.7404785,777.7191162,821.3000488,841.9104004
93,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,776.75,777.088501,817.088501,778.7797852,764.0151978,716.7606812,756.7606812,760.5604858,777.7191162,821.3000488,841.9104004
94,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,776.5,777.088501,817.088501,778.7797852,763.8671875,716.0806885,756.0806885,760.3804932,777.7191162,821.3000488,841.9104004
95,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,776.25,777.088501,817.088501,778.7797852,763.7191772,715.4006958,755.4006958,760.2005005,777.7191162,821.3000488,841.9104004
96,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,776,777.088501,817.088501,778.7797852,763.571167,714.7207031,754.7207031,760.0205078,777.7191162,821.3000488,841.9104004
97,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,775.75,777.088501,817.088501,778.7797852,763.4231567,714.0407104,754.0407104,759.8405151,777.7191162,821.3000488,841.9104004
98,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,775.5,777.088501,817.088501,778.7797852,763.2751465,713.3607178,753.3607178,759.6605225,777.7191162,821.3000488,841.9104004
99,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,775.25,777.088501,817.088501,778.7797852,763.1271362,712.6807251,752.6807251,759.4805298,777.7191162,821.3000488,841.9104004
100,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,775,777.088501,817.088501,778.7797852,762.979126,712.0007324,752.0007324,759.3005371,777.7191162,821.3000488,841.9104004
101,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,774.75,777.088501,817.088501,778.7797852,762.8311157,711.3207397,751.3207397,759.1205444,777.7191162,821.3000488,841.9104004
102,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,774.5,777.088501,817.088501,778.7797852,762.6831055,710.6407471,750.6407471,758.9405518,777.7191162,821.3000488,841.9104004
103,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,774.25,777.088501,817.088501,778.7797852,762.5350952,709.9607544,749.9607544,758.7605591,777.7191162,821.3000488,841.9104004
104,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,774,777.088501,817.088501,778.7797852,762.387085,709.2807617,749.2807617,758.5805664,777.7191162,821.3000488,841.9104004
105,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,773.75,777.088501,817.088501,778.7797852,762.2390747,708.600769,748.600769,758.4005737,777.7191162,821.3000488,841.9104004
