index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
31,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,801.25,815.8864746,855.8864746,817.6464844,814.6306152,798.5408325,838.5408325,810.4500122,816.5636597,831.4702148,851.887146
32,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,801,815.8864746,855.8864746,817.6464844,814.5386353,797.8808594,837.8808594,810.2700195,816.5636597,831.4702148,851.887146
33,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,800.75,815.8864746,855.8864746,817.6464844,814.4466553,797.2208862,837.2208862,810.0900269,816.5636597,831.4702148,851.887146
34,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,800.5,815.8864746,855.8864746,817.6464844,814.3546753,796.5609131,836.5609131,809.9100342,816.5636597,831.4702148,851.887146
35,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,800.25,815.8864746,855.8864746,817.6464844,814.2626953,795.9009399,835.9009399,809.7300415,816.5636597,831.4702148,851.887146
36,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,800,815.8864746,855.8864746,817.6464844,814.1707153,795.2409668,835.2409668,809.5500488,816.5636597,831.4702148,851.887146
37,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,799.75,815.8864746,855.8864746,817.6464844,814.0787354,794.5809937,834.5809937,809.3700562,816.5636597,831.4702148,851.887146
38,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,799.5,815.8864746,855.8864746,817.6464844,813.9867554,793.9210205,833.9210205,809.1900635,816.5636597,831.4702148,851.887146
39,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,799.25,815.8864746,855.8864746,817.6464844,813.8947754,793.2610474,833.2610474,809.0100708,816.5636597,831.4702148,851.887146
40,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,799,815.8864746,855.8864746,817.6464844,813.8027954,792.6010742,832.6010742,808.8300781,816.5636597,831.4702148,851.887146
